| S.No | Skip List Time | Set Time | Closeness (%) |
| 164  | 0.002093       | 0.002220 | 94.274431     |
| 165  | 0.003115       | 0.002034 | 65.298779     |
| 166  | 0.002110       | 0.001802 | 85.389630     |
| 167  | 0.002801       | 0.002177 | 77.719904     |
| 168  | 0.002938       | 0.002646 | 90.083592     |
| 169  | 0.002117       | 0.001891 | 89.322811     |
| 170  | 0.001919       | 0.002145 | 89.493357     |
| 171  | 0.002029       | 0.001865 | 91.941673     |
| 172  | 0.002333       | 0.002343 | 99.597713     |
| 173  | 0.002143       | 0.001996 | 93.120678     |
| 174  | 0.002727       | 0.001888 | 69.221978     |
| 175  | 0.002198       | 0.002059 | 93.657223     |
| 176  | 0.002095       | 0.001679 | 80.163219     |
| 177  | 0.001964       | 0.001811 | 92.223269     |
| 178  | 0.002332       | 0.001979 | 84.851150     |
| 179  | 0.002223       | 0.002188 | 98.400195     |
| 180  | 0.002155       | 0.002165 | 99.535379     |
| 181  | 0.001917       | 0.001902 | 99.194040     |
| 182  | 0.002148       | 0.002449 | 87.714154     |
| 183  | 0.002168       | 0.002029 | 93.592725     |
| 184  | 0.002110       | 0.001919 | 90.925861     |
| 185  | 0.002187       | 0.002228 | 98.194029     |
| 186  | 0.002413       | 0.001955 | 81.008464     |
| 187  | 0.002111       | 0.002291 | 92.141748     |
| 188  | 0.001949       | 0.002034 | 95.845123     |
| 189  | 0.002122       | 0.002106 | 99.210293     |
| 190  | 0.002304       | 0.001809 | 78.482658     |
| 191  | 0.001956       | 0.002133 | 91.705651     |
| 192  | 0.001886       | 0.001825 | 96.766074     |
| 193  | 0.002310       | 0.002024 | 87.619858     |
| 194  | 0.002024       | 0.001972 | 97.430938     |
| 195  | 0.002173       | 0.001787 | 82.236720     |
| 196  | 0.002042       | 0.002154 | 94.806114     |
| 197  | 0.002127       | 0.001791 | 84.242055     |
| 198  | 0.002106       | 0.001889 | 89.680077     |
| 199  | 0.002414       | 0.002053 | 85.060994     |
| 200  | 0.002485       | 0.002283 | 91.864570     |
| 201  | 0.002010       | 0.001846 | 91.799200     |
| 202  | 0.001927       | 0.001952 | 98.730952     |
| 203  | 0.002391       | 0.001960 | 81.957157     |
| 204  | 0.002831       | 0.002024 | 71.497723     |
| 205  | 0.002036       | 0.001922 | 94.390789     |
| 206  | 0.002045       | 0.002667 | 76.683638     |
| 207  | 0.002201       | 0.001918 | 87.145678     |
| 208  | 0.002166       | 0.001850 | 85.420551     |
| 209  | 0.002253       | 0.002041 | 90.594465     |
| 210  | 0.002184       | 0.001858 | 85.037110     |
| 211  | 0.002003       | 0.001908 | 95.256764     |
| 212  | 0.002315       | 0.002461 | 94.079324     |
| 213  | 0.002324       | 0.002089 | 89.887311     |
| 214  | 0.002252       | 0.001852 | 82.257745     |
| 215  | 0.002279       | 0.002257 | 99.041341     |
| 216  | 0.002173       | 0.002606 | 83.359852     |
| 217  | 0.002063       | 0.001972 | 95.588801     |
| 218  | 0.002229       | 0.002259 | 98.669178     |
| 219  | 0.002568       | 0.001920 | 74.740777     |
| 220  | 0.002330       | 0.001844 | 79.164576     |
| 221  | 0.001970       | 0.002506 | 78.621742     |
